Date,Estimated Drop-offs Containing Food Waste
2022-12-31,19
2023-01-01,0
2023-01-07,30
2023-01-08,8
2023-01-10,47
2023-01-11,67
2023-01-13,50
2023-01-19,58
2023-01-20,74
2023-01-22,11
